,state,county,friendly_key,countyId,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
0,alabama,autauga_county,alabama_autauga_county,01001,13199,22.0,99.21,24644.0,360,1.0,1768.82,12839.0,53.0,42.144
1,alabama,baldwin_county,alabama_baldwin_county,01003,55717,27.0,128.37,26851.0,22041,19.0,1117.57,33676.0,39.0,57.575
2,alabama,barbour_county,alabama_barbour_county,01005,13236,51.0,29.563,17350.0,608,7.0,1264.44,12628.0,72.0,20.09
3,alabama,bibb_county,alabama_bibb_county,01007,22772,98.0,37.203,18110.0,7323,98.0,1022.8,15449.0,98.0,25.512
4,alabama,blount_county,alabama_blount_county,01009,27824,46.0,93.378,20501.0,681,11.0,1421.62,27143.0,50.0,84.672
5,alabama,bullock_county,alabama_bullock_county,01011,10251,100.0,16.459,17706.0,5153,100.0,1052.9,5098.0,100.0,8.25
6,alabama,butler_county,alabama_butler_county,01013,10049,50.0,25.751,18115.0,455,8.0,1478.71,9594.0,68.0,18.126
7,alabama,calhoun_county,alabama_calhoun_county,01015,10501,9.0,197.608,21306.0,2119,3.0,971.596,8382.0,20.0,77.928
8,alabama,chambers_county,alabama_chambers_county,01017,5422,17.0,52.906,21240.0,0,0.0,765.925,5422.0,35.0,26.69
9,alabama,cherokee_county,alabama_cherokee_county,01019,15190,60.0,45.906,22234.0,261,7.0,360.954,14929.0,69.0,39.993
10,alabama,chilton_county,alabama_chilton_county,01021,33632,75.0,64.586,21718.0,2315,40.0,858.937,31317.0,80.0,56.853
11,alabama,choctaw_county,alabama_choctaw_county,01023,10526,85.0,13.603,21268.0,0,0.0,0.0,10526.0,85.0,13.603
12,alabama,clarke_county,alabama_clarke_county,01025,11545,48.0,19.376,20022.0,350,6.0,808.214,11195.0,61.0,14.856
13,alabama,clay_county,alabama_clay_county,01027,8122,63.0,21.294,18957.0,0,0.0,0.0,8122.0,63.0,21.294
14,alabama,cleburne_county,alabama_cleburne_county,01029,14974,100.0,26.763,19736.0,0,0.0,0.0,14974.0,100.0,26.763
15,alabama,coffee_county,alabama_coffee_county,01031,6847,13.0,78.121,24204.0,0,0.0,1327.85,6847.0,28.0,37.256
16,alabama,colbert_county,alabama_colbert_county,01033,12106,23.0,89.113,21763.0,669,2.0,1109.81,11437.0,49.0,41.336
17,alabama,conecuh_county,alabama_conecuh_county,01035,8158,68.0,14.169,15441.0,51,2.0,1107.0,8107.0,84.0,11.383
18,alabama,coosa_county,alabama_coosa_county,01037,2218,21.0,16.286,17749.0,0,0.0,0.0,2218.0,21.0,16.286
19,alabama,covington_county,alabama_covington_county,01039,35855,98.0,35.669,20941.0,10913,99.0,1097.2,24942.0,97.0,25.244
20,alabama,crenshaw_county,alabama_crenshaw_county,01041,5671,43.0,21.538,20366.0,0,0.0,0.0,5671.0,43.0,21.538
21,alabama,cullman_county,alabama_cullman_county,01043,22542,27.0,112.541,21105.0,0,0.0,885.587,22542.0,37.0,85.576
22,alabama,dale_county,alabama_dale_county,01045,4429,9.0,88.413,22368.0,241,1.0,821.858,4188.0,17.0,47.152
23,alabama,dallas_county,alabama_dallas_county,01047,7046,17.0,43.31,17614.0,0,0.0,1407.96,7046.0,38.0,19.364
24,alabama,dekalb_county,alabama_dekalb_county,01049,11313,16.0,91.719,18416.0,0,0.0,1639.44,11313.0,18.0,83.055
25,alabama,elmore_county,alabama_elmore_county,01051,10634,12.0,137.775,24185.0,2657,7.0,1185.36,7977.0,18.0,77.791
26,alabama,escambia_county,alabama_escambia_county,01053,14317,39.0,38.51,16673.0,416,3.0,1182.74,13901.0,60.0,24.732
27,alabama,etowah_county,alabama_etowah_county,01055,7996,8.0,193.16,20445.0,843,1.0,867.353,7153.0,18.0,84.937
28,alabama,fayette_county,alabama_fayette_county,01057,15808,100.0,25.186,19040.0,3201,100.0,1136.08,12607.0,100.0,20.176
29,alabama,franklin_county,alabama_franklin_county,01059,10258,33.0,49.511,18559.0,0,0.0,1416.45,10258.0,48.0,34.377
30,alabama,geneva_county,alabama_geneva_county,01061,14308,57.0,44.051,20027.0,329,13.0,1081.98,13979.0,62.0,39.678
31,alabama,greene_county,alabama_greene_county,01063,8036,99.0,12.491,13956.0,0,0.0,0.0,8036.0,99.0,12.491
32,alabama,hale_county,alabama_hale_county,01065,6047,41.0,22.74,18774.0,0,0.0,731.942,6047.0,46.0,20.336
33,alabama,henry_county,alabama_henry_county,01067,8427,51.0,29.449,22682.0,55,3.0,1290.76,8372.0,58.0,25.768
34,alabama,houston_county,alabama_houston_county,01069,15193,14.0,187.307,23492.0,391,1.0,1345.94,14802.0,41.0,69.176
