,friendlyKey,countyId,stateId,stateName,countyName,category,numTests,medianDownload,medianUpload,lowerQuartileDownload,lowerQuartileUpload,upperQuartileDownload,upperQuartileUpload
0,south_carolina_abbeville_county,45001,45,south carolina,abbeville,Home,8,1.46094,0.6836,0.85547,0.266,1.48695,0.828
1,south_carolina_abbeville_county,45001,45,south carolina,abbeville,Mobile,29,1.375,0.74805,0.44238,0.57129,3.9043,0.96094
2,south_carolina_abbeville_county,45001,45,south carolina,abbeville,Small_Business,3,5.55128,4.83496,1.86557,0.433,5.56543,5.3418
3,louisiana_acadia_county,22001,22,louisiana,acadia,CC_library_school,1,1.43272,1.376,1.43272,1.376,1.43272,1.376
4,louisiana_acadia_county,22001,22,louisiana,acadia,Home,30,3.07021,0.40723,0.55566,0.217,5.86426,1.521
5,louisiana_acadia_county,22001,22,louisiana,acadia,Mobile,140,0.54785,0.17871,0.00391,0.11914,1.50879,0.39551
6,louisiana_acadia_county,22001,22,louisiana,acadia,Small_Business,1,1.90234,1.89355,1.90234,1.89355,1.90234,1.89355
7,virginia_accomack_county,51001,51,virginia,accomack,Business,4,16.13135,1.44492,1.28516,0.31641,30.44336,1.79883
8,virginia_accomack_county,51001,51,virginia,accomack,CC_library_school,2,25.10742,9.44141,0.09082,0.38477,50.12402,18.49805
9,virginia_accomack_county,51001,51,virginia,accomack,Home,104,2.80029,0.68897,1.76855,0.364,6.47099,0.93848
10,virginia_accomack_county,51001,51,virginia,accomack,Mobile,241,0.90137,0.5752,0.45215,0.26367,1.78027,0.79883
11,virginia_accomack_county,51001,51,virginia,accomack,Other,1,0.29199,0.29395,0.29199,0.29395,0.29199,0.29395
12,virginia_accomack_county,51001,51,virginia,accomack,Small_Business,3,0.32031,3.87793,0.2832,1.55762,0.34766,4.42188
13,idaho_ada_county,16001,16,idaho,ada,Business,61,8.05078,6.2959,2.72656,1.45605,24.6543,9.226
14,idaho_ada_county,16001,16,idaho,ada,CC_library_school,127,2.6084,2.571,0.70206,1.126,6.00631,8.34863
15,idaho_ada_county,16001,16,idaho,ada,Home,1324,4.8462,0.66352,2.1837,0.50391,5.99805,0.745
16,idaho_ada_county,16001,16,idaho,ada,Mobile,5169,2.43164,0.72949,0.96484,0.49316,5.29199,1.2666
17,idaho_ada_county,16001,16,idaho,ada,Other,20,11.44776,4.72412,5.57115,0.72949,13.94531,5.968
18,idaho_ada_county,16001,16,idaho,ada,Small_Business,116,8.44971,1.854,4.54945,0.71582,24.38281,8.717
19,oklahoma_adair_county,40001,40,oklahoma,adair,Business,8,3.6045,1.03272,3.33301,1.03125,3.72754,1.03613
20,oklahoma_adair_county,40001,40,oklahoma,adair,Home,5,2.75488,0.47363,1.64975,0.45801,5.23931,0.56641
21,oklahoma_adair_county,40001,40,oklahoma,adair,Mobile,17,0.36914,0.08496,0.13086,0.07129,0.69531,0.14844
22,missouri_adair_county,29001,29,missouri,adair,Business,1,42.62402,0.4375,42.62402,0.4375,42.62402,0.4375
23,missouri_adair_county,29001,29,missouri,adair,CC_library_school,16,0.79346,0.88818,0.41309,0.58,2.79827,2.33398
24,missouri_adair_county,29001,29,missouri,adair,Home,78,3.17627,0.42881,2.11863,0.29688,5.25195,0.54492
25,missouri_adair_county,29001,29,missouri,adair,Mobile,62,1.08936,0.26368,0.125,0.08594,4.4082,1.61621
26,missouri_adair_county,29001,29,missouri,adair,Small_Business,1,4.11523,1.32227,4.11523,1.32227,4.11523,1.32227
27,kentucky_adair_county,21001,21,kentucky,adair,Home,15,2.62067,0.61426,1.57129,0.327,2.88571,0.62402
28,kentucky_adair_county,21001,21,kentucky,adair,Mobile,27,2.11426,0.46191,1.1543,0.32031,4.43555,0.61328
29,iowa_adair_county,19001,19,iowa,adair,Home,3,25.1748,1.29102,24.36719,1.05176,31.88867,3.99316
30,iowa_adair_county,19001,19,iowa,adair,Mobile,12,0.81934,0.49756,0.37109,0.20508,1.66992,0.63965
31,wisconsin_adams_county,55001,55,wisconsin,adams,Business,2,2.31344,1.67658,2.23624,1.11816,2.39063,2.235
32,wisconsin_adams_county,55001,55,wisconsin,adams,Home,15,1.24023,0.6543,0.72476,0.135,1.51561,0.77637
33,wisconsin_adams_county,55001,55,wisconsin,adams,Mobile,41,0.54004,0.25781,0.18359,0.14648,0.92676,0.50293
34,mississippi_adams_county,28001,28,mississippi,adams,Business,1,3.14408,2.58301,3.14408,2.58301,3.14408,2.58301
35,mississippi_adams_county,28001,28,mississippi,adams,Home,34,1.04289,0.218,0.91309,0.209,1.23119,0.4082
36,mississippi_adams_county,28001,28,mississippi,adams,Mobile,27,0.87305,0.50488,0.20508,0.30273,6.33008,1.06934
37,mississippi_adams_county,28001,28,mississippi,adams,Other,1,26.79004,27.92188,26.79004,27.92188,26.79004,27.92188
38,mississippi_adams_county,28001,28,mississippi,adams,Small_Business,4,4.62639,0.432,1.24502,0.40918,4.80876,0.434
39,north_dakota_adams_county,38001,38,north dakota,adams,Business,1,3.14408,2.58301,3.14408,2.58301,3.14408,2.58301
40,north_dakota_adams_county,38001,38,north dakota,adams,Home,34,1.04289,0.218,0.91309,0.209,1.23119,0.4082
41,north_dakota_adams_county,38001,38,north dakota,adams,Mobile,27,0.87305,0.50488,0.20508,0.30273,6.33008,1.06934
42,north_dakota_adams_county,38001,38,north dakota,adams,Other,1,26.79004,27.92188,26.79004,27.92188,26.79004,27.92188
43,north_dakota_adams_county,38001,38,north dakota,adams,Small_Business,4,4.62639,0.432,1.24502,0.40918,4.80876,0.434
44,iowa_adams_county,19003,19,iowa,adams,Home,7,2.74308,0.374,1.39258,0.356,2.86328,1.3125
45,iowa_adams_county,19003,19,iowa,adams,Mobile,22,2.70655,1.85499,1.12695,0.39941,11.08691,1.95801
46,iowa_adams_county,19003,19,iowa,adams,Small_Business,1,2.47852,0.38281,2.47852,0.38281,2.47852,0.38281
47,illinois_adams_county,17001,17,illinois,adams,Business,4,14.8075,8.02198,5.95703,0.74414,22.64941,14.40918
48,illinois_adams_county,17001,17,illinois,adams,CC_library_school,8,7.0669,4.4211,5.54785,1.00391,11.12078,9.28711
