county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Alabama,"985,263",20%,96.963,.,"169,154",6%,"1,333.15","816,109",41%,40.636
Autauga County,"13,199",22%,99.21,"$24,644 ",360,1%,"1,768.82","12,839",53%,42.144
Baldwin County,"55,717",27%,128.37,"$26,851 ","22,041",19%,"1,117.57","33,676",39%,57.575
Barbour County,"13,236",51%,29.563,"$17,350 ",608,7%,"1,264.44","12,628",72%,20.09
Bibb County,"22,772",98%,37.203,"$18,110 ","7,323",98%,"1,022.80","15,449",98%,25.512
Blount County,"27,824",46%,93.378,"$20,501 ",681,11%,"1,421.62","27,143",50%,84.672
Bullock County,"10,251",100%,16.459,"$17,706 ","5,153",100%,"1,052.90","5,098",100%,8.25
Butler County,"10,049",50%,25.751,"$18,115 ",455,8%,"1,478.71","9,594",68%,18.126
Calhoun County,"10,501",9%,197.608,"$21,306 ","2,119",3%,971.596,"8,382",20%,77.928
Chambers County,"5,422",17%,52.906,"$21,240 ",.,.,765.925,"5,422",35%,26.69
Cherokee County,"15,190",60%,45.906,"$22,234 ",261,7%,360.954,"14,929",69%,39.993
Chilton County,"33,632",75%,64.586,"$21,718 ","2,315",40%,858.937,"31,317",80%,56.853
Choctaw County,"10,526",85%,13.603,"$21,268 ",.,.,.,"10,526",85%,13.603
Clarke County,"11,545",48%,19.376,"$20,022 ",350,6%,808.214,"11,195",61%,14.856
Clay County,"8,122",63%,21.294,"$18,957 ",.,.,.,"8,122",63%,21.294
Cleburne County,"14,974",100%,26.763,"$19,736 ",.,.,.,"14,974",100%,26.763
Coffee County,"6,847",13%,78.121,"$24,204 ",.,.,"1,327.85","6,847",28%,37.256
Colbert County,"12,106",23%,89.113,"$21,763 ",669,2%,"1,109.81","11,437",49%,41.336
Conecuh County,"8,158",68%,14.169,"$15,441 ",51,2%,"1,107.00","8,107",84%,11.383
Coosa County,"2,218",21%,16.286,"$17,749 ",.,.,.,"2,218",21%,16.286
Covington County,"35,855",98%,35.669,"$20,941 ","10,913",99%,"1,097.20","24,942",97%,25.244
Crenshaw County,"5,671",43%,21.538,"$20,366 ",.,.,.,"5,671",43%,21.538
Cullman County,"22,542",27%,112.541,"$21,105 ",.,.,885.587,"22,542",37%,85.576
Dale County,"4,429",9%,88.413,"$22,368 ",241,1%,821.858,"4,188",17%,47.152
Dallas County,"7,046",17%,43.31,"$17,614 ",.,.,"1,407.96","7,046",38%,19.364
