,stateName,countyName,stateId,countyId,friendlyKey,gt50Available
0,south carolina,abbeville,45,45001,south_carolina_abbeville_county,True
1,louisiana,acadia,22,22001,louisiana_acadia_county,True
2,virginia,accomack,51,51001,virginia_accomack_county,True
3,idaho,ada,16,16001,idaho_ada_county,True
4,oklahoma,adair,40,40001,oklahoma_adair_county,False
5,missouri,adair,29,29001,missouri_adair_county,True
6,kentucky,adair,21,21001,kentucky_adair_county,True
7,iowa,adair,19,19001,iowa_adair_county,True
8,wisconsin,adams,55,55001,wisconsin_adams_county,True
9,mississippi,adams,28,28001,mississippi_adams_county,True
10,north dakota,adams,38,38001,north_dakota_adams_county,True
11,iowa,adams,19,19003,iowa_adams_county,True
12,illinois,adams,17,17001,illinois_adams_county,True
13,colorado,adams,08,08001,colorado_adams_county,True
14,nebraska,adams,31,31001,nebraska_adams_county,True
15,idaho,adams,16,16003,idaho_adams_county,True
16,pennsylvania,adams,42,42001,pennsylvania_adams_county,True
17,ohio,adams,39,39001,ohio_adams_county,True
18,indiana,adams,18,18001,indiana_adams_county,True
19,washington,adams,53,53001,washington_adams_county,True
20,vermont,addison,50,50001,vermont_addison_county,True
21,puerto rico,adjuntas,72,72001,puerto_rico_adjuntas_county,False
22,puerto rico,aguada,72,72003,puerto_rico_aguada_county,True
23,puerto rico,aguadilla,72,72005,puerto_rico_aguadilla_county,True
24,puerto rico,aguas buenas,72,72007,puerto_rico_aguas_buenas_county,True
25,puerto rico,aibonito,72,72009,puerto_rico_aibonito_county,True
26,south carolina,aiken,45,45003,south_carolina_aiken_county,True
27,minnesota,aitkin,27,27001,minnesota_aitkin_county,True
28,florida,alachua,12,12001,florida_alachua_county,True
29,north carolina,alamance,37,37001,north_carolina_alamance_county,True
30,california,alameda,06,06001,california_alameda_county,True
31,colorado,alamosa,08,08003,colorado_alamosa_county,True
32,wyoming,albany,56,56001,wyoming_albany_county,True
33,new york,albany,36,36001,new_york_albany_county,True
34,virginia,albemarle,51,51003,virginia_albemarle_county,True
35,michigan,alcona,26,26001,michigan_alcona_county,True
36,mississippi,alcorn,28,28003,mississippi_alcorn_county,True
37,alaska,aleutians east,02,02013,alaska_aleutians_east_county,False
38,alaska,aleutians west,02,02016,alaska_aleutians_west_county,False
39,north carolina,alexander,37,37003,north_carolina_alexander_county,True
40,illinois,alexander,17,17003,illinois_alexander_county,False
41,virginia,alexandria,51,51510,virginia_alexandria_county,True
42,oklahoma,alfalfa,40,40003,oklahoma_alfalfa_county,True
43,michigan,alger,26,26003,michigan_alger_county,True
44,iowa,allamakee,19,19005,iowa_allamakee_county,True
45,michigan,allegan,26,26005,michigan_allegan_county,True
46,new york,allegany,36,36003,new_york_allegany_county,True
47,maryland,allegany,24,24001,maryland_allegany_county,True
48,virginia,alleghany,51,51005,virginia_alleghany_county,True
49,north carolina,alleghany,37,37005,north_carolina_alleghany_county,False
50,pennsylvania,allegheny,42,42003,pennsylvania_allegheny_county,True
51,indiana,allen,18,18003,indiana_allen_county,True
52,louisiana,allen,22,22003,louisiana_allen_county,True
53,kentucky,allen,21,21003,kentucky_allen_county,True
54,kansas,allen,20,20001,kansas_allen_county,True
55,ohio,allen,39,39003,ohio_allen_county,True
56,south carolina,allendale,45,45005,south_carolina_allendale_county,True
57,michigan,alpena,26,26007,michigan_alpena_county,True
58,california,alpine,06,06003,california_alpine_county,True
59,california,amador,06,06005,california_amador_county,True
60,virginia,amelia,51,51007,virginia_amelia_county,True
61,virginia,amherst,51,51009,virginia_amherst_county,True
62,mississippi,amite,28,28005,mississippi_amite_county,False
63,puerto rico,añasco,72,72011,puerto_rico_añasco_county,False
64,alaska,anchorage,02,02020,alaska_anchorage_county,True
65,kansas,anderson,20,20003,kansas_anderson_county,True
66,tennessee,anderson,47,47001,tennessee_anderson_county,True
67,kentucky,anderson,21,21005,kentucky_anderson_county,True
68,south carolina,anderson,45,45007,south_carolina_anderson_county,True
69,texas,anderson,48,48001,texas_anderson_county,True
70,missouri,andrew,29,29003,missouri_andrew_county,True
71,texas,andrews,48,48003,texas_andrews_county,True
72,maine,androscoggin,23,23001,maine_androscoggin_county,True
73,texas,angelina,48,48005,texas_angelina_county,True
74,maryland,anne arundel,24,24003,maryland_anne_arundel_county,True
75,minnesota,anoka,27,27003,minnesota_anoka_county,True
76,north carolina,anson,37,37007,north_carolina_anson_county,True
77,nebraska,antelope,31,31003,nebraska_antelope_county,True
78,michigan,antrim,26,26009,michigan_antrim_county,True
79,arizona,apache,04,04001,arizona_apache_county,False
80,iowa,appanoose,19,19007,iowa_appanoose_county,True
81,georgia,appling,13,13001,georgia_appling_county,True
82,virginia,appomattox,51,51011,virginia_appomattox_county,True
83,texas,aransas,48,48007,texas_aransas_county,True
84,colorado,arapahoe,08,08005,colorado_arapahoe_county,True
85,texas,archer,48,48009,texas_archer_county,True
86,colorado,archuleta,08,08007,colorado_archuleta_county,True
87,puerto rico,arecibo,72,72013,puerto_rico_arecibo_county,True
88,michigan,arenac,26,26011,michigan_arenac_county,True
89,arkansas,arkansas,05,05001,arkansas_arkansas_county,True
90,virginia,arlington,51,51013,virginia_arlington_county,True
91,pennsylvania,armstrong,42,42005,pennsylvania_armstrong_county,True
92,texas,armstrong,48,48011,texas_armstrong_county,True
93,maine,aroostook,23,23003,maine_aroostook_county,True
94,puerto rico,arroyo,72,72015,puerto_rico_arroyo_county,True
95,nebraska,arthur,31,31005,nebraska_arthur_county,True
96,louisiana,ascension,22,22005,louisiana_ascension_county,True
97,north carolina,ashe,37,37009,north_carolina_ashe_county,True
98,ohio,ashland,39,39005,ohio_ashland_county,True
99,wisconsin,ashland,55,55003,wisconsin_ashland_county,True
100,arkansas,ashley,05,05003,arkansas_ashley_county,True
101,ohio,ashtabula,39,39007,ohio_ashtabula_county,True
102,washington,asotin,53,53003,washington_asotin_county,True
103,louisiana,assumption,22,22007,louisiana_assumption_county,True
104,texas,atascosa,48,48013,texas_atascosa_county,True
105,kansas,atchison,20,20005,kansas_atchison_county,True
106,missouri,atchison,29,29005,missouri_atchison_county,True
107,ohio,athens,39,39009,ohio_athens_county,True
108,georgia,atkinson,13,13003,georgia_atkinson_county,True
109,new jersey,atlantic,34,34001,new_jersey_atlantic_county,True
110,oklahoma,atoka,40,40005,oklahoma_atoka_county,True
111,mississippi,attala,28,28007,mississippi_attala_county,True
112,missouri,audrain,29,29007,missouri_audrain_county,True
113,iowa,audubon,19,19009,iowa_audubon_county,True
114,ohio,auglaize,39,39011,ohio_auglaize_county,True
115,virginia,augusta,51,51015,virginia_augusta_county,True
116,south dakota,aurora,46,46003,south_dakota_aurora_county,True
117,texas,austin,48,48015,texas_austin_county,True
118,alabama,autauga,01,01001,alabama_autauga_county,True
119,north carolina,avery,37,37011,north_carolina_avery_county,True
120,louisiana,avoyelles,22,22009,louisiana_avoyelles_county,True
121,colorado,baca,08,08009,colorado_baca_county,True
122,georgia,bacon,13,13005,georgia_bacon_county,True
123,texas,bailey,48,48017,texas_bailey_county,True
124,florida,baker,12,12003,florida_baker_county,True
125,georgia,baker,13,13007,georgia_baker_county,False
126,oregon,baker,41,41001,oregon_baker_county,True
127,georgia,baldwin,13,13009,georgia_baldwin_county,True
128,alabama,baldwin,01,01003,alabama_baldwin_county,True
129,kentucky,ballard,21,21007,kentucky_ballard_county,True
130,maryland,baltimore,24,24510,maryland_baltimore_county,True
131,maryland,baltimore,24,24005,maryland_baltimore_county,True
132,south carolina,bamberg,45,45009,south_carolina_bamberg_county,True
