fips,C,L,LC,R,RC,county,party_won
24510,0,0,20,0,0,maryland_baltimore_city,0
25025,0,0,4,0,1,massachusetts_suffolk_county,0
42003,0,0,3,0,14,pennsylvania_allegheny_county,0
06067,0,0,2,0,0,california_sacramento_county,0
06037,0,0,22,0,0,california_los_angeles_county,0
13089,0,0,1,0,0,georgia_dekalb_county,0
36047,0,0,3,0,0,new_york_kings_county,0
36063,8,0,3,0,0,new_york_niagara_county,1
53073,0,0,22,0,0,washington_whatcom_county,0
36061,0,0,14,0,0,new_york_new_york_county,0
12099,0,0,2,0,0,florida_palm_beach_county,0
31109,1,0,0,0,0,nebraska_lancaster_county,0
48439,0,0,0,0,13,texas_tarrant_county,1
36069,0,0,1,0,2,new_york_ontario_county,1
11001,0,0,25,0,0,dc_washington,0
26163,0,0,1,0,0,michigan_wayne_county,0
37119,0,0,8,0,0,north_carolina_mecklenburg_county,0
36103,0,0,1,0,0,new_york_suffolk_county,1
28033,0,0,2,0,0,mississippi_desoto_county,1
48201,0,0,1,0,0,texas_harris_county,0
36019,0,0,8,0,0,new_york_clinton_county,0
42049,0,0,1,0,0,pennsylvania_erie_county,1
48113,0,0,0,0,11,texas_dallas_county,0
17031,0,0,10,0,0,illinois_cook_county,0
26125,0,0,1,0,0,michigan_oakland_county,0
55029,0,0,1,0,0,wisconsin_door_county,1
32510,0,2,0,0,0,nevada_carson_city,1
42045,0,0,1,0,0,pennsylvania_delaware_county,0
18097,0,0,1,0,0,indiana_marion_county,0
34013,0,0,1,0,0,new_jersey_essex_county,0
39049,0,0,0,0,6,ohio_franklin_county,0
06059,0,0,2,0,0,california_orange_county,0
12025,0,4,0,0,0,florida_dade,0
05007,0,0,1,0,0,arkansas_benton_county,1
36085,0,0,0,0,1,new_york_richmond_county,1
48029,0,2,0,0,0,texas_bexar_county,0
29127,0,0,1,0,0,missouri_marion_county,1
06093,0,0,1,0,0,california_siskiyou_county,0
36081,0,0,1,0,0,new_york_queens_county,0
17001,0,0,1,0,0,illinois_adams_county,1
06085,0,0,1,0,0,california_santa_clara_county,0
